"","RMSE_arma_errors_inventory"
"1",57.96223134739
"2",90.8366732970451
"3",76.9293871481944
"4",99.2362804385259
"5",44.8241270773867
"6",31.2865918998774
"7",45.5483277965005
"8",43.5717798738163
"9",71.2137439652224
"10",64.1051829194655
"11",58.9258675155927
"12",68.1718860111455
"13",51.2792728588566
"14",39.4480381895365
"15",35.6571666882657
"16",54.2851561940669
"17",58.9942245251621
"18",61.1476706709816
"19",74.3779706139155
"20",100.505874169582
"21",93.7520264829127
"22",83.880806425181
"23",106.700887430077
"24",115.027756863375
"25",117.131800461631
"26",142.433832874946
"27",181.328364872867
"28",179.557945821166
"29",137.576000968555
"30",157.587036688135
"31",152.339874640249
"32",158.28298689654
"33",102.559516197199
"34",69.7387786829161
"35",32.3789806289507
"36",35.928098359237
"37",43.2138344715073
"38",42.3921819580857
"39",19.1019414612225
"40",12.0103137638624
"41",6.59348043805403
