date,index_value
1979-01-01,74.400
1979-02-01,74.200
1979-03-01,74.700
1979-04-01,74.600
1979-05-01,75.000
1979-06-01,76.100
1979-07-01,76.700
1979-08-01,77.000
1979-09-01,78.000
1979-10-01,78.500
1979-11-01,78.600
1979-12-01,78.500
1980-01-01,79.000
1980-02-01,79.100
1980-03-01,79.400
1980-04-01,80.200
1980-05-01,81.800
1980-06-01,81.900
1980-07-01,82.500
1980-08-01,82.800
1980-09-01,83.500
1980-10-01,83.200
1980-11-01,84.500
1980-12-01,84.500
1981-01-01,85.200
1981-02-01,85.300
1981-03-01,85.600
1981-04-01,86.300
1981-05-01,87.600
1981-06-01,87.400
1981-07-01,88.300
1981-08-01,89.200
1981-09-01,89.700
1981-10-01,90.100
1981-11-01,90.400
1981-12-01,90.400
1982-01-01,93.600
1982-02-01,92.900
1982-03-01,93.100
1982-04-01,92.700
1982-05-01,93.700
1982-06-01,93.200
1982-07-01,94.000
1982-08-01,95.500
1982-09-01,96.400
1982-10-01,97.200
1982-11-01,96.900
1982-12-01,97.600
1983-01-01,97.300
1983-02-01,97.800
1983-03-01,98.500
1983-04-01,98.600
1983-05-01,99.100
1983-06-01,99.200
1983-07-01,100.300
1983-08-01,100.400
1983-09-01,101.300
1983-10-01,101.900
1983-11-01,101.900
1983-12-01,102.900
1984-01-01,102.800
1984-02-01,102.800
1984-03-01,103.100
1984-04-01,103.700
1984-05-01,103.900
1984-06-01,104.700
1984-07-01,105.000
1984-08-01,106.300
1984-09-01,107.600
1984-10-01,107.500
1984-11-01,107.700
1984-12-01,109.000
1985-01-01,110.200
1985-02-01,109.800
1985-03-01,109.600
1985-04-01,110.400
1985-05-01,111.400
1985-06-01,111.700
1985-07-01,112.000
1985-08-01,113.700
1985-09-01,113.400
1985-10-01,113.500
1985-11-01,113.500
1985-12-01,114.700
1986-01-01,115.000
1986-02-01,115.100
1986-03-01,115.300
1986-04-01,116.800
1986-05-01,117.200
1986-06-01,117.200
1986-07-01,118.200
1986-08-01,118.400
1986-09-01,119.000
1986-10-01,119.600
1986-11-01,120.700
1986-12-01,120.400
1987-01-01,121.000
1987-02-01,121.800
1987-03-01,121.600
1987-04-01,121.200
1987-05-01,122.400
1987-06-01,122.800
1987-07-01,123.700
1987-08-01,124.300
1987-09-01,125.100
1987-10-01,125.500
1987-11-01,125.900
1987-12-01,128.500
1988-01-01,128.700
1988-02-01,129.300
1988-03-01,128.000
1988-04-01,128.400
1988-05-01,128.200
1988-06-01,129.300
1988-07-01,130.700
1988-08-01,131.000
1988-09-01,132.200
1988-10-01,133.000
1988-11-01,132.500
1988-12-01,132.300
1989-01-01,133.400
1989-02-01,133.700
1989-03-01,134.600
1989-04-01,135.100
1989-05-01,135.000
1989-06-01,137.300
1989-07-01,138.400
1989-08-01,137.900
1989-09-01,138.800
1989-10-01,139.300
1989-11-01,139.300
1989-12-01,139.700
1990-01-01,139.800
1990-02-01,141.400
1990-03-01,141.600
1990-04-01,142.800
1990-05-01,142.700
1990-06-01,142.500
1990-07-01,144.200
