Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2537.000,2202.000,
2007-02-01,,2468.000,2158.000,
2007-03-01,,2479.000,2173.000,
2007-04-01,,2509.000,2189.000,
2007-05-01,,2535.000,2213.000,
2007-06-01,,2558.000,2232.000,
2007-07-01,,2597.000,2268.000,
2007-08-01,,2632.000,2296.000,
2007-09-01,,2648.000,2314.000,
2007-10-01,,2659.000,2326.000,
2007-11-01,,2680.000,2339.000,
2007-12-01,,2687.000,2346.000,
2008-01-01,,2691.000,2347.000,
2008-02-01,,2689.000,2350.000,
2008-03-01,,2695.000,2355.000,
2008-04-01,,2695.000,2356.000,
2008-05-01,,2696.000,2355.000,
2008-06-01,,2696.000,2356.000,
2008-07-01,,2697.000,2358.000,
2008-08-01,,2698.000,2361.000,
2008-09-01,,2685.000,2351.000,
2008-10-01,,2657.000,2327.000,
2008-11-01,,2627.000,2302.000,
2008-12-01,,2591.000,2270.000,
2009-01-01,,2555.000,2240.000,
2009-02-01,,2520.000,2211.000,
2009-03-01,,2493.000,2188.000,
2009-04-01,,2468.000,2166.000,
2009-05-01,,2450.000,2152.000,
2009-06-01,,2440.000,2143.000,
2009-07-01,,2440.000,2144.000,
2009-08-01,,2436.000,2140.000,
2009-09-01,,2435.000,2140.000,
2009-10-01,,2429.000,2135.000,
2009-11-01,,2417.000,2125.000,
2009-12-01,,2409.000,2118.000,
2010-01-01,1848.000,2414.000,2122.000,
2010-02-01,1837.000,2419.000,2126.000,
2010-03-01,1847.000,2423.000,2129.000,
2010-04-01,1857.000,2431.000,2135.000,
2010-05-01,1870.000,2443.000,2145.000,
2010-06-01,1888.000,2458.000,2159.000,
2010-07-01,1893.000,2475.000,2174.000,
2010-08-01,1904.000,2490.000,2187.000,
2010-09-01,1909.000,2506.000,2200.000,
2010-10-01,1924.000,2516.000,2210.000,
2010-11-01,1915.000,2523.000,2214.000,
2010-12-01,1935.000,2530.000,2222.000,
2011-01-01,1938.000,2542.000,2232.000,
